method,test_size,accuracy(m),accuracy(v),precision0(m),precision0(v),precision1(m),precision1(v),recall0(m),recall0(v),recall1(m),recall1(v),
neater,0.3,0.9083333333333333,0.0,0.954248366013072,0.0,0.8926174496644296,0.0,0.7525773195876289,0.0,0.9827586206896551,0.0,
neater,0.3,0.9066666666666666,0.0,0.9726027397260274,0.0,0.8854625550660793,0.0,0.7319587628865979,0.0,0.9901477832512315,0.0,
neater,0.3,0.9083333333333333,0.0,0.9602649006622517,0.0,0.89086859688196,0.0,0.7474226804123711,0.0,0.9852216748768473,0.0,
neater,0.3,0.9133333333333333,0.0,0.9551282051282052,0.0,0.8986486486486487,0.0,0.7680412371134021,0.0,0.9827586206896551,0.0,
neater,0.3,0.8933333333333333,0.0,0.9513888888888888,0.0,0.875,0.0,0.7061855670103093,0.0,0.9827586206896551,0.0,
neater,0.3,0.895,0.0,0.958041958041958,0.0,0.87527352297593,0.0,0.7061855670103093,0.0,0.9852216748768473,0.0,
neater,0.3,0.8833333333333333,0.0,0.9428571428571428,0.0,0.8652173913043478,0.0,0.6804123711340206,0.0,0.9802955665024631,0.0,
neater,0.3,0.9083333333333333,0.0,0.9727891156462585,0.0,0.8874172185430463,0.0,0.7371134020618557,0.0,0.9901477832512315,0.0,
neater,0.3,0.9066666666666666,0.0,0.96,0.0,0.8888888888888888,0.0,0.7422680412371134,0.0,0.9852216748768473,0.0,
neater,0.3,0.9,0.0,0.958904109589041,0.0,0.8810572687224669,0.0,0.7216494845360825,0.0,0.9852216748768473,0.0,
neater,0.3,0.91,0.0,0.9605263157894737,0.0,0.8928571428571429,0.0,0.7525773195876289,0.0,0.9852216748768473,0.0,
neater,0.3,0.9,0.0,0.9466666666666667,0.0,0.8844444444444445,0.0,0.7319587628865979,0.0,0.9802955665024631,0.0,
neater,0.3,0.9116666666666666,0.0,0.9607843137254902,0.0,0.8948545861297539,0.0,0.7577319587628866,0.0,0.9852216748768473,0.0,
neater,0.3,0.91,0.0,0.9666666666666667,0.0,0.8911111111111111,0.0,0.7474226804123711,0.0,0.9876847290640394,0.0,
neater,0.3,0.905,0.0,0.9477124183006536,0.0,0.8903803131991052,0.0,0.7474226804123711,0.0,0.9802955665024631,0.0,
neater,0.3,0.8966666666666666,0.0,0.9285714285714286,0.0,0.8856502242152466,0.0,0.7371134020618557,0.0,0.9729064039408867,0.0,
neater,0.3,0.9116666666666666,0.0,0.9607843137254902,0.0,0.8948545861297539,0.0,0.7577319587628866,0.0,0.9852216748768473,0.0,
neater,0.3,0.9066666666666666,0.0,0.9423076923076923,0.0,0.8941441441441441,0.0,0.7577319587628866,0.0,0.9778325123152709,0.0,
neater,0.3,0.9116666666666666,0.0,0.9490445859872612,0.0,0.8984198645598194,0.0,0.7680412371134021,0.0,0.9802955665024631,0.0,
neater,0.3,0.91,0.0,0.9545454545454546,0.0,0.8946188340807175,0.0,0.7577319587628866,0.0,0.9827586206896551,0.0,
neater,0.3,0.9233333333333333,0.0,0.9512195121951219,0.0,0.9128440366972477,0.0,0.8041237113402062,0.0,0.9802955665024631,0.0,
neater,0.3,0.91,0.0,0.926829268292683,0.0,0.9036697247706422,0.0,0.7835051546391752,0.0,0.9704433497536946,0.0,
neater,0.3,0.905,0.0,0.9308176100628931,0.0,0.8956916099773242,0.0,0.7628865979381443,0.0,0.9729064039408867,0.0,
neater,0.3,0.91,0.0,0.9375,0.0,0.9,0.0,0.7731958762886598,0.0,0.9753694581280788,0.0,
neater,0.3,0.9116666666666666,0.0,0.9433962264150944,0.0,0.9002267573696145,0.0,0.7731958762886598,0.0,0.9778325123152709,0.0,
neater,0.3,0.9033333333333333,0.0,0.925,0.0,0.8954545454545455,0.0,0.7628865979381443,0.0,0.9704433497536946,0.0,
neater,0.3,0.9183333333333333,0.0,0.9503105590062112,0.0,0.9066059225512528,0.0,0.788659793814433,0.0,0.9802955665024631,0.0,
knn,0.3,0.8283333333333334,0.0,0.8273381294964028,0.0,0.8286334056399133,0.0,0.5927835051546392,0.0,0.9408866995073891,0.0,
mlp,0.3,0.9433333333333334,0.0,0.9395604395604396,0.0,0.9449760765550239,0.0,0.8814432989690721,0.0,0.9729064039408867,0.0,
nb,0.3,0.8816666666666667,0.0,0.7685589519650655,0.0,0.9514824797843666,0.0,0.9072164948453608,0.0,0.8694581280788177,0.0,
neater,0.3,0.91,0.0,0.9430379746835443,0.0,0.8981900452488688,0.0,0.7680412371134021,0.0,0.9778325123152709,0.0,
voting,0.3,0.9333333333333333,0.0,0.9139784946236559,0.0,0.9420289855072463,0.0,0.8762886597938144,0.0,0.9605911330049262,0.0,
svm,0.3,0.6766666666666666,0.0,0.0,0.0,0.6766666666666666,0.0,0.0,0.0,1.0,0.0,
rf,0.3,0.9283333333333333,0.0,0.9575757575757575,0.0,0.9172413793103448,0.0,0.8144329896907216,0.0,0.9827586206896551,0.0,
voting,0.3,0.9383333333333334,0.0,0.9385474860335196,0.0,0.9382422802850356,0.0,0.865979381443299,0.0,0.9729064039408867,0.0,
neater,0.3,0.9133333333333333,0.0,0.961038961038961,0.0,0.8968609865470852,0.0,0.7628865979381443,0.0,0.9852216748768473,0.0,
neater,0.3,0.9,0.0,0.9407894736842105,0.0,0.8861607142857143,0.0,0.7371134020618557,0.0,0.9778325123152709,0.0,
neater,0.3,0.9133333333333333,0.0,0.9733333333333334,0.0,0.8933333333333333,0.0,0.7525773195876289,0.0,0.9901477832512315,0.0,
neater,0.3,0.9216666666666666,0.0,0.9622641509433962,0.0,0.9070294784580499,0.0,0.788659793814433,0.0,0.9852216748768473,0.0,
neater,0.3,0.915,0.0,0.9386503067484663,0.0,0.9061784897025171,0.0,0.788659793814433,0.0,0.9753694581280788,0.0,
neater,0.3,0.9166666666666666,0.0,0.9444444444444444,0.0,0.906392694063927,0.0,0.788659793814433,0.0,0.9778325123152709,0.0,
neater,0.3,0.9133333333333333,0.0,0.9797297297297297,0.0,0.8915929203539823,0.0,0.7474226804123711,0.0,0.9926108374384236,0.0,
neater,0.3,0.9133333333333333,0.0,0.961038961038961,0.0,0.8968609865470852,0.0,0.7628865979381443,0.0,0.9852216748768473,0.0,
neater,0.3,0.91,0.0,0.9666666666666667,0.0,0.8911111111111111,0.0,0.7474226804123711,0.0,0.9876847290640394,0.0,
neater,0.3,0.905,0.0,0.9363057324840764,0.0,0.8939051918735892,0.0,0.7577319587628866,0.0,0.9753694581280788,0.0,
neater,0.3,0.9133333333333333,0.0,0.9551282051282052,0.0,0.8986486486486487,0.0,0.7680412371134021,0.0,0.9827586206896551,0.0,
neater,0.3,0.915,0.0,0.9612903225806452,0.0,0.898876404494382,0.0,0.7680412371134021,0.0,0.9852216748768473,0.0,
neater,0.3,0.8566666666666667,0.0,0.9821428571428571,0.0,0.8278688524590164,0.0,0.5670103092783505,0.0,0.9950738916256158,0.0,
neater,0.3,0.8683333333333333,0.0,0.9831932773109243,0.0,0.83991683991684,0.0,0.6030927835051546,0.0,0.9950738916256158,0.0,
neater,0.3,0.8883333333333333,0.0,0.9847328244274809,0.0,0.8614072494669509,0.0,0.6649484536082474,0.0,0.9950738916256158,0.0,
neater,0.3,0.9066666666666666,0.0,0.9726027397260274,0.0,0.8854625550660793,0.0,0.7319587628865979,0.0,0.9901477832512315,0.0,
neater,0.3,0.9116666666666666,0.0,0.9668874172185431,0.0,0.8930957683741648,0.0,0.7525773195876289,0.0,0.9876847290640394,0.0,
neater,0.3,0.9116666666666666,0.0,0.9490445859872612,0.0,0.8984198645598194,0.0,0.7680412371134021,0.0,0.9802955665024631,0.0,
neater,0.3,0.9116666666666666,0.0,0.9668874172185431,0.0,0.8930957683741648,0.0,0.7525773195876289,0.0,0.9876847290640394,0.0,
neater,0.3,0.9133333333333333,0.0,0.9671052631578947,0.0,0.8950892857142857,0.0,0.7577319587628866,0.0,0.9876847290640394,0.0,
neater,0.3,0.9133333333333333,0.0,0.9493670886075949,0.0,0.9004524886877828,0.0,0.7731958762886598,0.0,0.9802955665024631,0.0,
neater,0.3,0.9133333333333333,0.0,0.94375,0.0,0.9022727272727272,0.0,0.7783505154639175,0.0,0.9778325123152709,0.0,
voting,0.3,0.9383333333333334,0.0,0.9644970414201184,0.0,0.9280742459396751,0.0,0.8402061855670103,0.0,0.9852216748768473,0.0,
neater,0.3,0.9166666666666666,0.0,0.9390243902439024,0.0,0.908256880733945,0.0,0.7938144329896907,0.0,0.9753694581280788,0.0,
neater,0.3,0.9183333333333333,0.0,0.9393939393939394,0.0,0.9103448275862069,0.0,0.7989690721649485,0.0,0.9753694581280788,0.0,
neater,0.3,0.9183333333333333,0.0,0.9503105590062112,0.0,0.9066059225512528,0.0,0.788659793814433,0.0,0.9802955665024631,0.0,
neater,0.3,0.9116666666666666,0.0,0.9433962264150944,0.0,0.9002267573696145,0.0,0.7731958762886598,0.0,0.9778325123152709,0.0,
neater,0.3,0.92,0.0,0.9397590361445783,0.0,0.9124423963133641,0.0,0.8041237113402062,0.0,0.9753694581280788,0.0,
neater,0.3,0.9133333333333333,0.0,0.9329268292682927,0.0,0.9059633027522935,0.0,0.788659793814433,0.0,0.9729064039408867,0.0,
neater,0.3,0.9083333333333333,0.0,0.9316770186335404,0.0,0.8997722095671982,0.0,0.7731958762886598,0.0,0.9729064039408867,0.0,
neater,0.3,0.9166666666666666,0.0,0.9444444444444444,0.0,0.906392694063927,0.0,0.788659793814433,0.0,0.9778325123152709,0.0,
neater,0.3,0.915,0.0,0.9440993788819876,0.0,0.9043280182232346,0.0,0.7835051546391752,0.0,0.9778325123152709,0.0,
neater,0.3,0.9183333333333333,0.0,0.9393939393939394,0.0,0.9103448275862069,0.0,0.7989690721649485,0.0,0.9753694581280788,0.0,
neater,0.3,0.9133333333333333,0.0,0.9382716049382716,0.0,0.9041095890410958,0.0,0.7835051546391752,0.0,0.9753694581280788,0.0,
neater,0.3,0.92,0.0,0.9506172839506173,0.0,0.908675799086758,0.0,0.7938144329896907,0.0,0.9802955665024631,0.0,
neater,0.3,0.6033333333333334,0.0,0.44607843137254904,0.0,0.9375,0.0,0.9381443298969072,0.0,0.4433497536945813,0.0,
neater,0.3,0.6033333333333334,0.0,0.44607843137254904,0.0,0.9375,0.0,0.9381443298969072,0.0,0.4433497536945813,0.0,
neater,0.3,0.9133333333333333,0.0,0.9382716049382716,0.0,0.9041095890410958,0.0,0.7835051546391752,0.0,0.9753694581280788,0.0,
neater,0.3,0.905,0.0,0.8870056497175142,0.0,0.9125295508274232,0.0,0.8092783505154639,0.0,0.9507389162561576,0.0,
neater,0.3,0.9083333333333333,0.0,0.8839779005524862,0.0,0.918854415274463,0.0,0.8247422680412371,0.0,0.9482758620689655,0.0,
neater,0.3,0.9066666666666666,0.0,0.896551724137931,0.0,0.9107981220657277,0.0,0.8041237113402062,0.0,0.9556650246305419,0.0,
neater,0.3,0.8916666666666667,0.0,0.8208955223880597,0.0,0.9273182957393483,0.0,0.8505154639175257,0.0,0.9113300492610837,0.0,
neater,0.3,0.805,0.0,0.64,0.0,0.9446153846153846,0.0,0.9072164948453608,0.0,0.7561576354679803,0.0,
neater,0.3,0.8,0.0,0.6321428571428571,0.0,0.946875,0.0,0.9123711340206185,0.0,0.7463054187192119,0.0,
voting,0.3,0.935,0.0,0.9378531073446328,0.0,0.933806146572104,0.0,0.8556701030927835,0.0,0.9729064039408867,0.0,
neater,0.3,0.795,0.0,0.6272401433691757,0.0,0.940809968847352,0.0,0.9020618556701031,0.0,0.7438423645320197,0.0,
voting,0.3,0.9233333333333333,0.0,0.8663366336633663,0.0,0.9522613065326633,0.0,0.9020618556701031,0.0,0.9334975369458128,0.0,
neater,0.3,0.6366666666666667,0.0,0.4690721649484536,0.0,0.9433962264150944,0.0,0.9381443298969072,0.0,0.49261083743842365,0.0,
voting,0.3,0.9033333333333333,0.0,0.8207547169811321,0.0,0.9484536082474226,0.0,0.8969072164948454,0.0,0.9064039408866995,0.0,
neater,0.3,0.6366666666666667,0.0,0.46923076923076923,0.0,0.9476190476190476,0.0,0.9432989690721649,0.0,0.49014778325123154,0.0,
voting,0.3,0.905,0.0,0.8246445497630331,0.0,0.9485861182519281,0.0,0.8969072164948454,0.0,0.9088669950738916,0.0,
neater,0.3,0.7966666666666666,0.0,0.6294964028776978,0.0,0.9409937888198758,0.0,0.9020618556701031,0.0,0.7463054187192119,0.0,
voting,0.3,0.92,0.0,0.865,0.0,0.9475,0.0,0.8917525773195877,0.0,0.9334975369458128,0.0,
neater,0.3,0.8933333333333333,0.0,0.8282828282828283,0.0,0.9253731343283582,0.0,0.845360824742268,0.0,0.916256157635468,0.0,
voting,0.3,0.9283333333333333,0.0,0.8952879581151832,0.0,0.9437652811735942,0.0,0.8814432989690721,0.0,0.9507389162561576,0.0,
neater,0.3,0.7983333333333333,0.0,0.6336996336996337,0.0,0.9357798165137615,0.0,0.8917525773195877,0.0,0.7536945812807881,0.0,
voting,0.3,0.9216666666666666,0.0,0.8693467336683417,0.0,0.9476309226932669,0.0,0.8917525773195877,0.0,0.9359605911330049,0.0,
neater,0.3,0.8033333333333333,0.0,0.6386861313868614,0.0,0.941717791411043,0.0,0.9020618556701031,0.0,0.7561576354679803,0.0,
voting,0.3,0.92,0.0,0.8613861386138614,0.0,0.949748743718593,0.0,0.8969072164948454,0.0,0.9310344827586207,0.0,
neater,0.3,0.8033333333333333,0.0,0.6397058823529411,0.0,0.9390243902439024,0.0,0.8969072164948454,0.0,0.7586206896551724,0.0,
voting,0.3,0.925,0.0,0.8781725888324873,0.0,0.9478908188585607,0.0,0.8917525773195877,0.0,0.9408866995073891,0.0,
neater,0.3,0.805,0.0,0.64,0.0,0.9446153846153846,0.0,0.9072164948453608,0.0,0.7561576354679803,0.0,
voting,0.3,0.9183333333333333,0.0,0.864321608040201,0.0,0.9451371571072319,0.0,0.8865979381443299,0.0,0.9334975369458128,0.0,
neater,0.3,0.8016666666666666,0.0,0.6373626373626373,0.0,0.9388379204892966,0.0,0.8969072164948454,0.0,0.7561576354679803,0.0,
voting,0.3,0.92,0.0,0.865,0.0,0.9475,0.0,0.8917525773195877,0.0,0.9334975369458128,0.0,
neater,0.3,0.8133333333333334,0.0,0.6541353383458647,0.0,0.9401197604790419,0.0,0.8969072164948454,0.0,0.7733990147783252,0.0,
voting,0.3,0.92,0.0,0.8686868686868687,0.0,0.945273631840796,0.0,0.8865979381443299,0.0,0.9359605911330049,0.0,
neater,0.3,0.8083333333333333,0.0,0.6468401486988847,0.0,0.9395770392749244,0.0,0.8969072164948454,0.0,0.7660098522167488,0.0,
voting,0.3,0.9183333333333333,0.0,0.8606965174129353,0.0,0.9473684210526315,0.0,0.8917525773195877,0.0,0.9310344827586207,0.0,
neater,0.3,0.7983333333333333,0.0,0.631768953068592,0.0,0.9411764705882353,0.0,0.9020618556701031,0.0,0.7487684729064039,0.0,
voting,0.3,0.9216666666666666,0.0,0.8656716417910447,0.0,0.949874686716792,0.0,0.8969072164948454,0.0,0.9334975369458128,0.0,
neater,0.3,0.795,0.0,0.6272401433691757,0.0,0.940809968847352,0.0,0.9020618556701031,0.0,0.7438423645320197,0.0,
voting,0.3,0.9166666666666666,0.0,0.8529411764705882,0.0,0.9494949494949495,0.0,0.8969072164948454,0.0,0.9261083743842364,0.0,
neater,0.3,0.6083333333333333,0.0,0.44938271604938274,0.0,0.9384615384615385,0.0,0.9381443298969072,0.0,0.45073891625615764,0.0,
voting,0.3,0.9033333333333333,0.0,0.8238095238095238,0.0,0.9461538461538461,0.0,0.8917525773195877,0.0,0.9088669950738916,0.0,
neater,0.3,0.6033333333333334,0.0,0.44607843137254904,0.0,0.9375,0.0,0.9381443298969072,0.0,0.4433497536945813,0.0,
voting,0.3,0.905,0.0,0.8246445497630331,0.0,0.9485861182519281,0.0,0.8969072164948454,0.0,0.9088669950738916,0.0,
neater,0.3,0.6033333333333334,0.0,0.44634146341463415,0.0,0.9421052631578948,0.0,0.9432989690721649,0.0,0.4408866995073892,0.0,
voting,0.3,0.9033333333333333,0.0,0.8207547169811321,0.0,0.9484536082474226,0.0,0.8969072164948454,0.0,0.9064039408866995,0.0,
neater,0.3,0.8883333333333333,0.0,0.8713450292397661,0.0,0.8951048951048951,0.0,0.7680412371134021,0.0,0.9458128078817734,0.0,
voting,0.3,0.9366666666666666,0.0,0.9193548387096774,0.0,0.9444444444444444,0.0,0.8814432989690721,0.0,0.9630541871921182,0.0,
neater,0.3,0.8766666666666667,0.0,0.8614457831325302,0.0,0.8824884792626728,0.0,0.7371134020618557,0.0,0.9433497536945813,0.0,
voting,0.3,0.9283333333333333,0.0,0.883248730964467,0.0,0.9503722084367245,0.0,0.8969072164948454,0.0,0.9433497536945813,0.0,
neater,0.3,0.9066666666666666,0.0,0.9367088607594937,0.0,0.8959276018099548,0.0,0.7628865979381443,0.0,0.9753694581280788,0.0,
voting,0.3,0.935,0.0,0.918918918918919,0.0,0.9421686746987952,0.0,0.8762886597938144,0.0,0.9630541871921182,0.0,
neater,0.3,0.9233333333333333,0.0,0.9457831325301205,0.0,0.9147465437788018,0.0,0.8092783505154639,0.0,0.9778325123152709,0.0,
voting,0.3,0.935,0.0,0.9234972677595629,0.0,0.9400479616306955,0.0,0.8711340206185567,0.0,0.9655172413793104,0.0,
neater,0.3,0.9116666666666666,0.0,0.9272727272727272,0.0,0.9057471264367816,0.0,0.788659793814433,0.0,0.9704433497536946,0.0,
voting,0.3,0.9383333333333334,0.0,0.9243243243243243,0.0,0.944578313253012,0.0,0.8814432989690721,0.0,0.9655172413793104,0.0,
neater,0.3,0.9166666666666666,0.0,0.9285714285714286,0.0,0.9120370370370371,0.0,0.8041237113402062,0.0,0.9704433497536946,0.0,
voting,0.3,0.935,0.0,0.9234972677595629,0.0,0.9400479616306955,0.0,0.8711340206185567,0.0,0.9655172413793104,0.0,
neater,0.3,0.9216666666666666,0.0,0.950920245398773,0.0,0.9107551487414187,0.0,0.7989690721649485,0.0,0.9802955665024631,0.0,
voting,0.3,0.9333333333333333,0.0,0.9230769230769231,0.0,0.937799043062201,0.0,0.865979381443299,0.0,0.9655172413793104,0.0,
neater,0.3,0.9166666666666666,0.0,0.95,0.0,0.9045454545454545,0.0,0.7835051546391752,0.0,0.9802955665024631,0.0,
voting,0.3,0.935,0.0,0.918918918918919,0.0,0.9421686746987952,0.0,0.8762886597938144,0.0,0.9630541871921182,0.0,
neater,0.3,0.9166666666666666,0.0,0.9337349397590361,0.0,0.9101382488479263,0.0,0.7989690721649485,0.0,0.9729064039408867,0.0,
voting,0.3,0.9383333333333334,0.0,0.9289617486338798,0.0,0.9424460431654677,0.0,0.8762886597938144,0.0,0.9679802955665024,0.0,
neater,0.3,0.9133333333333333,0.0,0.9329268292682927,0.0,0.9059633027522935,0.0,0.788659793814433,0.0,0.9729064039408867,0.0,
voting,0.3,0.9333333333333333,0.0,0.9139784946236559,0.0,0.9420289855072463,0.0,0.8762886597938144,0.0,0.9605911330049262,0.0,
neater,0.3,0.915,0.0,0.8994413407821229,0.0,0.9216152019002375,0.0,0.8298969072164949,0.0,0.9556650246305419,0.0,
voting,0.3,0.9283333333333333,0.0,0.8952879581151832,0.0,0.9437652811735942,0.0,0.8814432989690721,0.0,0.9507389162561576,0.0,
neater,0.3,0.895,0.0,0.8324873096446701,0.0,0.9255583126550868,0.0,0.845360824742268,0.0,0.9187192118226601,0.0,
voting,0.3,0.925,0.0,0.8860103626943006,0.0,0.9434889434889435,0.0,0.8814432989690721,0.0,0.9458128078817734,0.0,
neater,0.3,0.8083333333333333,0.0,0.6457564575645757,0.0,0.9422492401215805,0.0,0.9020618556701031,0.0,0.7635467980295566,0.0,
voting,0.3,0.9183333333333333,0.0,0.868020304568528,0.0,0.9429280397022333,0.0,0.8814432989690721,0.0,0.9359605911330049,0.0,
neater,0.3,0.8866666666666667,0.0,0.815,0.0,0.9225,0.0,0.8402061855670103,0.0,0.9088669950738916,0.0,
voting,0.3,0.93,0.0,0.8958333333333334,0.0,0.946078431372549,0.0,0.8865979381443299,0.0,0.9507389162561576,0.0,
neater,0.3,0.885,0.0,0.817258883248731,0.0,0.9181141439205955,0.0,0.8298969072164949,0.0,0.9113300492610837,0.0,
