image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,LightNoise,LightNoise_light_param,GradientLightNoise,GradientLightNoise_light_param,CircularLightNoise,CircularLightNoise_light_param,CircularLightNoise_r_circle,CircularLightNoise_kernel_sigma,SPNoise,SPNoise_amount_sp,SPNoise_bw,SPNoise_pepper_color,SPNoise_salt_color,NegativeNoise,BlurNoise,BlurNoise_blur_sigma,BlurNoise_blur_kernel_size,pitch,yaw,roll,scale,label,istance_name
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.84966745,1,82_YE_70603$a0052a94-fd6a-43f8-baf8-8f2c9f6e86e6
0,0,0,1,0,0,0,0,1,0,0,0,1,-115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.663451429,1,47_NON_83386$2f2d0267-bc83-4030-927d-e7bb459c052c
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,17,0.414848057,0,0,0,0,0,0,0,0,0,67,0,5,0.871885094,1,75_NON_83173$67faf36c-90e8-4b1c-9318-680e62311aa0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,156,24,0.952565387,0,0,0,0,0,0,0,0,0,22,0,0,0.987727879,1,80_RE_10946$a3527244-8927-4764-b22d-1fa33d9987a7
0,0,0,0,1,0,0,0,0,0,1,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,59,45,0.516745286,1,76_DAL_65912$464873c9-5b39-4967-affc-a1d737b9db2f
0,0,1,0,0,0,0,0,0,0,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0.91687269,1,32_NON_60266$164938b5-264a-4262-bc8a-2fb9591e7d58
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0.861537955,0,62_RE_43726$7db4b6ab-f482-42ef-8270-590b507c6ee5
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,81,0,0.945153496,1,55_LAM_97496$0e58fc19-dc70-485c-953c-6b44bea5a8e3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,50,0,0.526117881,1,34_TA_39801$4d9f478c-e123-4987-bbf6-520f14c619c5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0.624590472,1,68_HE_94678$7deeac42-d6e5-48a6-9de7-e12d42529a6b
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-76,15,0.758844584,0,0,0,0,0,0,0,0,0,16,34,0,0.888470201,1,69_NON_45429$8a84c404-63cf-4967-b104-330d41d0694b
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.807292457,1,98_VAV_71513$018e959b-5a47-473c-8826-a9eec82cc9ee
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0.882257182,1,97_GHAF_49603$7af3e73f-87a1-42bd-a800-1dbf9aa15b64
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.710663368,1,57_TE_74434$c6d9f4df-f7ca-4f7c-9d5b-0b3804936e6c
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,0,0,0,0.749839727,1,74_BE_09050$fc432eb0-5576-4d8c-acac-a79883040218
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,41,0.973294492,0,59_VAV_43357$ac2ca2e0-aa00-4727-b08c-ca3c148a06e3
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0.583954165,1,27_HE_66552$2df38e3e-e846-4d9f-80ea-dec45d663ccd
0,0,0,0,0,0,0,0,0,0,1,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795841308,1,96_EIN_29708$a8120f7d-ea1d-4899-ba1a-2baab6c7bad7
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.802557688,1,53_WHEEL_40556$36d671ce-c2a8-4723-b2a6-4f4f8d8b6293
0,1,0,0,0,0,1,0,0,0,0,0,1,34,1,-68,18,0.956351486,0,0,0,0,0,0,0,0,0,0,2,0,0.945945039,1,10_TA_47369$f7c02749-97d4-4ed4-801b-ead6b6586980
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0.8717761,1,67_RE_77108$d4fbd7fc-b33b-4bdc-b68c-bdf43687ac5e
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.326882426,0,65,154,0,0,0,0,71,67,0,0.774121296,1,48_SIN_60807$d001c9f1-7288-44ff-b2c4-5acfaf573ceb
0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,0.213181202,1,87,248,0,0,0,0,0,0,0,0.790588159,1,66_SAD_04835$74cae7a0-e5d8-4794-a963-d3e58a286709
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0.73151576,0,21_YE_98093$4f92ee6d-6d03-4404-952c-6202a224529b
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333665657,0,84,172,0,1,6,11,0,0,0,0.731001246,1,47_SAD_17320$5dcf39e5-edf7-4198-bebc-06621560a740
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.242997415,0,109,174,0,0,0,0,0,0,80,0.9519295,0,91_NON_72278$94f0c349-f858-44ab-bae5-fbdaefc05ad5
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.704316625,1,64_EIN_85603$28f583cf-92cb-402b-b323-de6a8f93392f
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.312974215,1,82,181,0,0,0,0,0,65,0,0.956399736,1,00_HE_24736$8113c6a6-b5fe-41ea-a3b3-d0c69dbf2e7c
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.298417999,1,103,139,0,0,0,0,0,0,0,0.991635212,1,98_WHEEL_33180$cade32f6-d7bc-4f3f-bae5-053b919202eb
0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,-7,27,0.204393179,0,0,0,0,0,0,0,0,0,0,0,60,0.744504089,0,37_RE_14887$ef9faad5-9a54-447f-b8f4-4326281c07ba
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,66,0,0.709299922,1,82_JIM_06429$0bed8ea8-f248-4b79-989f-89731c2fd751
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0.711600874,1,71_SIN_38099$26dd32f2-c5f8-41d8-b2ae-0ff4cbdf389f
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,79,0,0.934297983,1,45_WHEEL_79756$0f4a2ce8-633a-4709-b8b5-35fee0a6f67f
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947251393,1,08_TA_14283$1f768bbe-a380-448b-840a-023232372a06
0,0,0,1,0,0,0,0,0,0,1,-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.747180716,1,33_SIN_80772$466f73af-804f-4807-87ba-a2362c1e39a0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.221706204,1,1,142,0,0,0,0,0,23,0,0.726795469,1,49_WHEEL_70815$02d7f75e-a90e-4380-bd3d-948a34178455
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.369968791,1,46,230,0,0,0,0,49,0,0,0.908939622,1,57_VAV_04258$86fb0b05-2155-499b-a30c-243c68e87271
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.754246859,1,33_LAM_15946$e61af4f1-fc7a-4305-ac07-8fcd3c0e4429
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,15,22,0,0,0.629221192,1,33_GHAF_46697$96744e9a-6a4a-47e4-8b48-ec9ab1153701
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,84,62,0.92215571,0,37_DAL_25345$cd533cc5-f061-4c3f-9bf7-f1e64fc43bd3
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.589656732,1,67_EIN_67537$1c02acfa-e197-478e-a5c2-47a89e8cbe2e
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,73,0,0.653247734,1,90_SIN_79720$858cbb5d-9ccf-404d-bcf5-995c6e8ea17f
0,0,0,1,0,0,0,0,1,0,1,-98,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,0,0,0,0.995473649,1,44_RE_09940$b45e97d4-f9df-49fc-92aa-ee4ceb9e3bad
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970134936,1,96_RE_86670$261818a7-4414-49dd-92f5-aa92815a8f2b
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71889006,1,33_LAM_96707$3d7080d5-6c60-45c5-bd1b-9420f8def7ba
0,0,0,0,0,0,0,0,0,1,1,-96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,7,0.693065781,1,22_HE_35113$8d495288-e202-471a-a509-c6d280729420
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-97,19,0.675716921,0,0,0,0,0,0,1,5,11,70,65,0,0.894349936,1,30_BE_98482$740c9b44-2196-49b0-8f26-6f219b797c5b
0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.659097625,1,15_WHEEL_07365$40e65dca-416e-4ce1-a7eb-98f22e262a0f
0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.817364632,1,15_SIN_82063$9a22db6c-91f4-4362-81e7-dd0f085adfa4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,89,0,0.916770669,1,39_HE_17742$28c4c0db-927a-4002-889b-a777fb313062
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0.964173094,1,55_NON_07434$1a265efe-dbda-4608-9160-73b69d4a4110
1,0,0,0,0,1,0,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,88,0.516858201,0,91_EIN_49612$6b4368e7-94f5-40e4-b99b-b0b26f962302
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,11,0,0.662371336,1,95_RE_65471$ff3bbd82-37c1-4e4e-b701-091fab0e09f6
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.270306521,0,75,200,0,0,0,0,0,0,0,0.58976295,1,75_MIM_63645$2ecc297b-6345-4c45-bf8b-1f88bdca1ca7
1,0,0,0,0,0,1,0,0,0,0,0,1,154,0,0,0,0,1,0.330578244,0,17,243,0,0,0,0,68,29,80,0.891444053,0,30_WHEEL_41080$3968262d-3e21-44d0-bd24-2fe38c1ab7bb
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,52,9,0.733058164,1,11_MIM_34840$bc0698d2-4150-44a4-bc5a-10c43665bf60
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.865565898,1,89_WHEEL_26304$df1a4f31-e9b8-4462-96df-c5039474b575
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,11,51,0,38,0.847983064,0,40_SAD_94941$d158431a-6e14-4d26-9eab-7908c93be409
0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,36,20,0.241878321,0,0,0,0,0,0,0,0,0,59,85,0,0.600185796,1,23_GHAF_16498$93a7463a-90f2-4024-ab5a-103ef83ba66d
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.226276116,0,56,147,0,0,0,0,0,13,0,0.775340243,1,96_TE_81818$9f60c3da-e838-4250-b3ad-e6104edd604d
0,0,0,1,0,1,0,0,0,0,1,95,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635167146,1,79_EIN_87653$9205f9c7-83d5-4757-93c5-f65e99ad7820
0,0,0,0,0,0,0,1,0,0,1,118,0,0,0,0,0,0,0,0,0,0,0,1,1,4,9,70,0,87,0.556546315,0,64_DAL_27536$3dae0d7a-9b1b-4762-9219-5d528401469d
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.342309518,1,71,139,0,0,0,0,52,0,16,0.99958868,1,11_JIM_19384$74d740a3-359d-472f-ba4d-ac3ca547327c
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86,47,0,0.804875453,1,57_HE_12696$1d80bd71-b743-4f67-90dc-70f763ac92ba
0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,65,0,0.765181689,1,16_BE_38976$2c048430-57ea-420f-b698-660b72af198c
0,0,0,0,0,0,0,0,0,0,0,0,1,24,1,-118,17,0.120946317,0,0,0,0,0,0,0,0,0,0,37,38,0.724084622,0,71_BE_84707$7d69d530-38ae-44a9-8ba7-8e6e19c5fe76
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-107,30,0.211523916,0,0,0,0,0,1,0,0,0,0,0,0,0.769562606,1,20_SAD_55065$1edad614-94de-4767-9cee-f9774968cf59
0,0,0,0,0,0,0,0,0,0,0,0,1,66,1,-135,22,0.60542008,0,0,0,0,0,0,0,0,0,0,0,0,0.724610722,1,22_SAD_51641$3839ad5b-0a00-4144-bc26-cf0554c27fa6
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726988195,1,00_YE_84765$1d528191-2eab-4113-9726-d6b763660976
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0.761185077,1,06_JIM_21568$ae07bcc4-6723-40e6-a3b5-1912982a92fd
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,33,0,0.695208729,1,71_HE_12678$17be7f9b-b513-447f-ad17-d1696efe4716
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1,0.79895019,1,86_MIM_07754$cc265568-ff10-4093-ad04-83d9dc7b8c6f
